2025-10-07 15:59:35 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 72
2025-10-07 16:08:15 | Exception: 405 Method Not Allowed: The requested URL /demo/mongo/Dat%20Duy/20/datahihi1100 exists but does not support GET method.Allowed: POST | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
2025-10-07 18:24:19 | Exception: call_user_func_array(): Argument #1 ($callback) must be a valid callback, class Craft\Database\Mapper\MongoMapper does not have a method "select" | File: C:\laragon\www\DocTruyenHay\app\Model\Model.php | Line: 57
2025-10-07 18:25:01 | Exception: call_user_func_array(): Argument #1 ($callback) must be a valid callback, class Craft\Database\Mapper\MongoMapper does not have a method "select" | File: C:\laragon\www\DocTruyenHay\app\Model\Model.php | Line: 57
2025-10-07 18:25:02 | Exception: call_user_func_array(): Argument #1 ($callback) must be a valid callback, class Craft\Database\Mapper\MongoMapper does not have a method "select" | File: C:\laragon\www\DocTruyenHay\app\Model\Model.php | Line: 57
2025-10-07 22:02:06 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:02:24 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:40:01 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:40:02 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:40:03 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:40:03 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:40:03 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:40:27 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:40:32 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:42:06 | Exception: Class name must be a valid object or a string | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 135
2025-10-07 22:46:23 | Exception: call_user_func_array(): Argument #1 ($callback) must be a valid callback, class Craft\Database\QueryBuilder\SqliteBuilder does not have a method "all" | File: C:\laragon\www\DocTruyenHay\app\Model\Model.php | Line: 57
2025-10-07 22:47:39 | Exception: SQLSTATE[HY000] [1049] Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 20
2025-10-07 22:47:52 | Exception: Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\MysqliAdapter.php | Line: 24
2025-10-07 22:47:59 | Exception: SQLSTATE[HY000] [1049] Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 20
2025-10-07 22:48:30 | Exception: SQLSTATE[HY000] [1049] Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 20
2025-10-07 22:48:34 | Exception: SQLSTATE[HY000] [1049] Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 20
